Feature_1_city_match,Feature_4_ZCSC,Feature_5,Feature_6,Feature_8_unknow_flag,Feature_8_IOS_flag,Feature_8_android_flag,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_21,Feature_25,Feature_27,Feature_31,Feature_33,Feature_38,Feature_47,Feature_51,Feature_55,Feature_58,Feature_64,Feature_66,Feature_68,Feature_73,Feature_75,Feature_77,Feature_80,Feature_82,Feature_87,Feature_88,Feature_91,Feature_99,Feature_100,Feature_106,Feature_108,Feature_109,Feature_110,Feature_112,Feature_113_zhuanche_PayPer_12,Feature_122,Feature_123,Feature_125,Feature_127,Feature_131,Feature_135,Feature_136,Feature_143,Feature_148,Feature_168,Feature_169,Feature_173,Feature_177,Feature_183,Feature_189,Feature_192,Feature_193,Feature_205,Feature_206,Feature_209,Feature_213,Feature_216,Feature_232,Feature_233,Feature_241,Feature_242,Feature_256,Feature_257,Feature_318,Feature_330,Feature_334,Feature_338
1,63.6,1,30,0,1,0,1,1,3,17,1,10,0.1176,307.1,18.0647,13.6502,18.8,3.9889,0.0824,0.172,0,4,0.1412,7,0.2015,492.39,13.04,0.2607,7,0.2015,0,22,1137.97,3661.19,997.92,3919.84,143.03,779.75,3581.02,0.086437202,0.9277,0.9368,72.96,153.12,685.34,0,0,13,33,0,0.0118,100,0.9259,0.8824,8,0.1212,0.0741,23,0.1667,0.213,0,0,1,1,0,3,0.1176,0.0714,0.0118,0,0.2235,0.2353
1,63.5667,1,-99,1,0,0,0,0,-99,-99,-99,0,0,0,0,25.2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,96.74,96.74,0,96.74,0,0,96.74,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0.5,1,1,0,0,0,0,0,-99,0,0,0,0
1,62.7667,1,-99,0,1,0,0,0,-99,-99,1,0,0,0,0,5,0,0,0,0,0,1,0,0,-99,0,0,-99,0,-99,0,0,0,43.92,0,43.92,0,0,81.52,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,6,0,0.75,2,0,0,0,0,0,0,0,0,0,0.5,0.5
1,60.9667,1,-99,0,1,0,1,1,12,13,1,3,0.0196,342.3,9.2514,8.1248,2.9,1.08,0,0,0,1,0,11,0.1781,344.98,690.7,0.1739,9,0.1711,0,80,2956.94,4752.34,1346.13,5000.98,362.51,1141.64,4538.02,0.092573856,0.9393,0.9197,1346.13,0,0,1.5,0,35,130,0,0,194,0.9327,0.8919,14,0.1077,0.0673,55,0.0909,0.2644,150,0.9694,0.0306,0.0196,0,9,0,0.0102,0,0,0.8693,0.8693
0,60.4,1,-99,0,1,0,0,0,-99,-99,1,0,0,0,0,15.2,0,0,0.5,0.2427,0,2,0.5,0,-99,0,0,-99,0,-99,0,0,0,91.63,0,76.63,0,0,76.63,0,0,0,0,0,0,0,0,1,2,0,0,5,1,0,0,0,0,2,1,0.5,2,0,0,0,0,0,0,0,0,0,0.5,0.5
0,60.2,1,26,0,1,0,0,1,13.5,17,1,7,0.0273,830.8,16.616,13.9934,28.3,5.4,0.0039,0.0039,0.0182,4,0.582,11,0.1759,895.21,760.71,0.177,11,0.1702,0,91,754.62,2020.33,2888.81,12214.55,76.53,442.66,1883.29,0.845815851,0.9062,0.8988,85.45,0,2803.36,0,0,36,161,0,0,71,0.1989,0.08,286,0.8199,0.8011,100,0.4474,0.2809,0,0,1,1,0,14,0,0.0091,0,0,0.0195,0.0195
1,59.4,1,-99,1,0,0,0,0,-99,-99,-99,1,0.0313,16.6,5.5333,5.1972,0,0,0,0,0,2,0.2813,0,0.44,0,97.59,0.3946,0,0.4796,0,10,163.42,341.86,31.15,334.58,0,31.15,289.25,0.135483292,0.856,0.8495,0,31.15,0,0,0,3,17,0,0,34,0.9714,1,1,0.0588,0.0286,3,0,0.0857,1,0,0,0,0.9688,0,-99,-99,0,0,0.8125,0.8125
1,57.9667,1,-99,0,0,1,0,0,13,14,1,0,0,112.07,5.0941,6.8439,0.4,1.55,0,0,0,2,0.0132,5,0.2033,59.34,157.58,0.2071,3,0.2082,0,34,828.04,1248.02,287.43,1073.34,48.57,273.59,1032.41,0.038133304,0.9024,0.8561,0,9,278.43,0,0,19,63,0.1698,0.3158,83,0.954,0.9545,4,0.0635,0.046,11,0.3333,0.1264,0,0,1,1,0,3,-99,-99,0,0,0.2237,0.2237
1,57.9667,1,-99,0,1,0,1,0,-99,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56.9,1,-99,0,1,0,1,0,-99,-99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,0,0,-99,0,-99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56.8667,1,-99,0,1,0,0,0,14,18,1,0,0,143.18,5.9658,5.1893,4.1,1.625,0,0,0,1,0,4,0.202,73.25,234.01,0.2275,3,0.1963,9,33,1090,1853.51,662.16,1926.17,164.31,558.97,1799.65,0.065684753,0.9658,0.9571,644.79,17.37,0,0.7,0,17,62,0.0204,0.0116,130,0.9848,0.9583,2,0.0323,0.0152,45,0,0.3435,85,0.9796,0,0,0.0116,3,0,0,0.0349,0,0.093,0.1279
0,56.2333,1,36,0,1,0,1,1,15.5,15.5,1,0,0,127.42,11.5836,9.3535,0.1,2.4,0.0341,0.1312,0,6,0.9886,4,0.2531,271.94,147.86,0.3483,4,0.2531,3,14,443.96,2243.05,388.7,2556.99,8.1,331.6,2132.69,0.165937293,0.9368,0.9119,0,0,388.7,0,0,9,26,0.2778,0.0682,93,0.9118,0.9091,9,0.1154,0.0882,13,0.7143,0.1287,0,0,1,1,0,2,0,0,0.0114,0,0,0.0114
0,56.2,1,37,0,0,1,0,1,15,16,1,6,0.1111,109.48,6.0822,7.377,1.2,0.75,0.0185,0.0828,0,6,0.537,6,0.1884,129.93,312.68,0.2202,6,0.1938,0,30,991.64,1327.93,333.38,1221.8,131.17,333.38,1190.7,0.025454248,0.8924,0.8892,0,333.38,0,1.2,0,15,48,0,0,70,0.9859,1,1,0.0208,0.0141,17,0,0.2394,0,0,1,1,0,8,-99,-99,0,0,0.8148,0.8148
1,56,1,-99,0,0,1,0,0,-99,-99,1,1,0.1,0,0,6.46,0,0,0,0,0,1,0,0,1,0,56.61,1,0,1,0,1,56.61,320.98,0,315.65,0,0,315.65,0,0,1,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,3,0,0.2308,1,1,0,0.9,0,0,0,-99,0,0,0.2,0.2
1,55.9,1,30,0,0,1,1,0,-99,-99,1,1,0.0625,19.6,4.9,5.7113,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,38.31,224.11,50.75,197.92,0,38.31,185.48,0.062853678,0.8088,0.8088,0,22.05,0,0,0,5,8,0,0.3125,26,0.963,0.75,1,0.125,0.037,11,0,0.4074,0,0,1,1,0,0,-99,-99,0,0,0.5,0.5
1,55.7333,0,26,0,1,0,0,0,18,19,1,6,0.0303,288.2,5.24,7.0253,15.2,3.2,0.0202,0.0582,0.0123,4,0.0808,13,0.2169,327.23,0,0.2113,11,0.2126,0,65,1763.76,4836.24,1032.15,4697.91,240.09,1032.15,4697.91,0,0.9409,0.9448,0,0,823.37,0,0,31,91,0.037,0.0253,228,0.9913,1,2,0,0.0087,32,0,0.1391,0,0,1,1,0,9,-99,-99,0,0,0.1768,0.1768
1,55.6333,1,-99,0,1,0,0,1,-99,-99,1,0,0,0,0,4.1667,0,0,0,0,0,1,0,0,-99,0,0,-99,0,-99,0,0,0,36.36,0,35.02,0,0,35.02,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,3,0,0.5,0,0,0,1,0,0,0,0,0,0,0.3333,0.3333
1,55.0667,0,28,0,1,0,0,0,14,17.5,1,16,0.0486,109.27,7.2847,8.121,41.8,11.7267,0.0304,0.1344,0.0421,6,0.079,2,0.3033,43.76,422.74,0.2709,2,0.2405,0,69,2025.08,6625.13,410.83,6505.65,126.58,258,5694.43,0.124694688,0.9928,0.9312,0,410.83,0,1.5,0,9,111,0,0.2249,361,0.973,1,10,0.0721,0.027,41,0,0.1108,0,0,1,1,0,4,0,0,0,0,0.8541,0.8541
1,55,1,-99,0,1,0,1,1,-99,-99,1,0,0,14.7,7.35,5.1524,0,0,0.0588,0.0598,0,3,0.5882,2,0.5556,35.24,0,0.6087,2,0.5556,0,3,55.76,208.27,35.24,310.83,0,35.24,193.91,0.376154168,0.8209,0.8621,35.24,0,0,0,0,4,6,0,0,21,0.84,1,4,0,0.16,7,0,0.2917,0,0,1,1,0,0,-99,-99,0,0,0.4706,0.4706
0,54.8667,0,48,0,1,0,1,0,23,23,1,6,0.1622,81.04,5.065,5.9138,0.3,0.3,0,0,0,2,0.973,5,0.17,68.3,141.59,0.1763,5,0.17,19,15,642.64,782.22,262.88,707.73,91.31,262.88,707.73,0,0.9299,0.9105,226.86,36.02,0,0.2,0,16,35,0.4828,0.4865,48,1,1,0,0,0,6,0,0.1395,14,0.4828,0.5172,0.6216,0,5,-99,-99,0,0,0.8108,0.8108
0,54.8333,1,-99,0,0,1,0,0,17,17,1,3,0.1364,116.1,16.5857,12.23,2.2,2.2,0,0,0,1,0,1,0.3772,48.4,86.67,0.2812,1,0.3772,0,11,633.58,817.44,330.78,861.72,66.05,330.78,775.05,0.100577914,0.9344,0.9256,330.78,0,0,0,0,6,17,0,0,22,0.9565,1,1,0.0588,0.0435,1,0,0.0435,18,0.7647,0.2353,0.1818,0,1,-99,-99,0,0,0.3182,0.3182
